original_name,vlink,releasedate,members,group_name
[Dance Practice] SISTAR(씨스타)_Touch my body_안무연습 Ver.,5IT2rFeF6XQ,2014-07-21,female,Sistar
[Dance Practice] SISTAR(씨스타)_I Swear_안무연습 Ver.,QFiAaqY2RpE,2014-08-26,female,Sistar
[Dance Practice] K.will (케이윌) - Day 1 (오늘부터 1일) 안무 영상,mirU5JFmNNk,2014-06-29,male,K.will
Girls' Generation 소녀시대 'Oh!' Dance Practice,S7SYWFeaSqc,2010-02-04,female,Girls' Generation
Girls' Generation 소녀시대 'Mr.Mr.' Dance Practice,DMNcXwxQA7Q,2014-03-30,female,Girls' Generation
BIGBANG - 'TONIGHT' DANCE PRACTICE VIDEO,Ky0aN5VpZ94,2011-03-03,male,BIGBANG
2NE1 - 'I LOVE YOU' Dance Practice Video,ZZEiDiDhlpI,2012-07-10,female,2NE1
2NE1 - 'FALLING IN LOVE' Dance Practice (안무연습),gceDuSLvCPU,2013-07-11,female,2NE1
2NE1 - 'COME BACK HOME' Dance Practice,0RUvealeXZ0,2014-03-13,female,2NE1
CL - '나쁜 기집애(THE BADDEST FEMALE)' Dance Practice (안무연습),5OzAqfboJ9k,2013-06-06,female,CL
2NE1 - '너 아님 안돼 (GOTTA BE YOU)' Dance Practice,9Lk6lnTS5sU,2014-03-17,female,2NE1
2NE1 - 'DO YOU LOVE ME' Dance Practice (안무연습),gwVWMmcM7HQ,2013-08-06,female,2NE1
"Wonder Girls ""Like this"" Dance Practice",E38Cdod47Zc,2012-06-05,female,Wonder Girls
"Wonder Girls ""Like Money"" Dance Practice",4wzRRTXSGHo,2012-09-04,female,Wonder Girls
SHINee 샤이니 'Sherlock•셜록 (Clue + Note)' Dance Practice,e0HYZxIzj8s,2012-03-22,male,SHINee
SHINee 샤이니 'Everybody' Dance Practice,GUf7hbpmFLg,2013-10-21,male,SHINee
TAEMIN 태민 '괴도 (Danger)' Dance Practice,CGvWxSVm9QE,2014-09-01,male,Taemin
AOA - 짧은 치마(Miniskirt) 안무영상(Dance Practice) Full ver.,56hGcCt0NuU,2014-01-15,female,AOA
AOA - 짧은 치마(Miniskirt) 안무영상(Dance Practice) Eye contact ver.,8CP9CxY7d3E,2014-01-15,female,AOA
AOA - 사뿐사뿐(Like a Cat) 안무영상(Dance Practice) Full ver,srK7Vj5p9Tg,2014-11-20,female,AOA
[ETC] AFTERSCHOOL - 'Flashback' Dance Practice ver,IPsoes0eoU0,2012-06-29,female,After School
EXO 엑소 '으르렁 (Growl)' Dance Practice (Korean Ver.),tiV4yyZF4mc,2013-08-12,male,EXO
EXO-K 엑소케이 'History' Dance Practice (Korean Ver.),sPPGu5tnmtw,2012-03-13,male,EXO-K
SHINee 샤이니 'Lucifer' Dance Practice,ovztfpWPo5M,2010-08-03,male,SHINee
2PM “GO CRAZY!(미친거 아니야?)” Dance Practice,ZFbXInOWXDQ,2014-09-25,male,2PM
"2PM ""A.D.T.O.Y.(하.니.뿐.)"" Dance Practice",CrMYNX30l4s,2013-05-20,male,2PM
[CHOREOGRAPHY] BTS (방탄소년단) 'Danger' dance practice,vJwHIpEogEY,2014-08-24,male,BTS
나인뮤지스[9MUSES] - 드라마(DRAMA) 안무 연습영상(Dance practice),j0BgmTJzBgI,2015-01-23,female,9Muses
"GOT7 ""Stop stop it(하지하지마)"" Dance Practice",EkedncBy90k,2014-11-24,male,GOT7
"GOT7 ""Stop stop it(하지하지마)"" Dance Practice #2 (Crazy Boyfriend Ver.)",M1MCRD24yxs,2014-11-28,male,GOT7
"GOT7 ""A"" Dance Practice",K2Y3tdNmHGs,2014-07-08,male,GOT7
"GOT7 ""Magnetic(너란 걸)"" Dance Practice",96TS8ocpKek,2014-11-18,male,GOT7
"GOT7 ""I Like You(난 니가 좋아)"" Dance Practice",pB8o0QujQ4A,2014-01-20,male,GOT7
"GOT7 ""I Like You(난 니가 좋아)"" Dance Practice #2 (Boyfriend Ver.)",Df4rFxE4AMs,2014-03-12,male,GOT7
