original_name,vlink,releasedate,members,group_name
[Dance Practice] K.will (케이윌) - Day 1 (오늘부터 1일) 안무 영상,mirU5JFmNNk,2014-06-29,male,K.will
BIGBANG - 'TONIGHT' DANCE PRACTICE VIDEO,Ky0aN5VpZ94,2011-03-03,male,BIGBANG
SHINee 샤이니 'Sherlock•셜록 (Clue + Note)' Dance Practice,e0HYZxIzj8s,2012-03-22,male,SHINee
SHINee 샤이니 'Everybody' Dance Practice,GUf7hbpmFLg,2013-10-21,male,SHINee
TAEMIN 태민 '괴도 (Danger)' Dance Practice,CGvWxSVm9QE,2014-09-01,male,Taemin
EXO 엑소 '으르렁 (Growl)' Dance Practice (Korean Ver.),tiV4yyZF4mc,2013-08-12,male,EXO
EXO-K 엑소케이 'History' Dance Practice (Korean Ver.),sPPGu5tnmtw,2012-03-13,male,EXO-K
SHINee 샤이니 'Lucifer' Dance Practice,ovztfpWPo5M,2010-08-03,male,SHINee
2PM “GO CRAZY!(미친거 아니야?)” Dance Practice,ZFbXInOWXDQ,2014-09-25,male,2PM
"2PM ""A.D.T.O.Y.(하.니.뿐.)"" Dance Practice",CrMYNX30l4s,2013-05-20,male,2PM
[CHOREOGRAPHY] BTS (방탄소년단) 'Danger' dance practice,vJwHIpEogEY,2014-08-24,male,BTS
"GOT7 ""Stop stop it(하지하지마)"" Dance Practice",EkedncBy90k,2014-11-24,male,GOT7
"GOT7 ""Stop stop it(하지하지마)"" Dance Practice #2 (Crazy Boyfriend Ver.)",M1MCRD24yxs,2014-11-28,male,GOT7
"GOT7 ""A"" Dance Practice",K2Y3tdNmHGs,2014-07-08,male,GOT7
"GOT7 ""Magnetic(너란 걸)"" Dance Practice",96TS8ocpKek,2014-11-18,male,GOT7
"GOT7 ""I Like You(난 니가 좋아)"" Dance Practice",pB8o0QujQ4A,2014-01-20,male,GOT7
"GOT7 ""I Like You(난 니가 좋아)"" Dance Practice #2 (Boyfriend Ver.)",Df4rFxE4AMs,2014-03-12,male,GOT7
"INFINITE ""Back"" Dance Practice",pxsDPxRfV0E,2014-09-26,male,Infinite
"INFINITE ""Last Romeo"" Dance Practice",Keux-aGfoM4,2014-09-03,male,Infinite
BIGBANG - '뱅뱅뱅(BANG BANG BANG)' DANCE PRACTICE,uxqjsXjSKPk,2015-06-04,male,BIGBANG
"GOT7 ""If You Do(니가 하면)"" Dance Practice",7PlVhV6V_4E,2015-10-06,male,GOT7
"GOT7 ""If You Do(니가 하면)"" Dance Practice  (I GOT7 Select Ver.)",X1Et6DABZ5s,2015-10-23,male,GOT7
iKON - '리듬 타(RHYTHM TA)' DANCE PRACTICE,y4mgw8AcwL8,2015-10-06,male,iKON
[Dance Practice] SEVENTEEN(세븐틴) -'아낀다(Adore U) - 'Follow Me' Ver.,HQRl6iipA1w,2015-06-20,male,Seventeen
[Dance Practice] SEVENTEEN(세븐틴) - '아낀다(Adore U) - 'Fixed Cam' Ver.,wPYLRdLZ5ts,2015-06-19,male,Seventeen
[Dance Practice] SEVENTEEN(세븐틴) - 만세(MANSAE) - SEEK ver.,Lh6I4k5rYM4,2015-09-26,male,Seventeen
[CHOREOGRAPHY] BTS (방탄소년단) 'I NEED U' Dance Practice,hvUZb9NT7EY,2015-05-03,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) 'RUN' Dance practice,9S3ZhJGv8JM,2015-12-09,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) '쩔어' Dance Practice,NnbIIXNPtPU,2015-06-28,male,BTS
"GOT7 ""Just right(딱 좋아)"" Dance Practice #2 (Just Crazy Boyfriend Ver.)",4EvV0IXd1BU,2015-07-16,male,GOT7
"GOT7 ""Just right(딱 좋아)"" Dance Practice",nqmY53BICOM,2015-07-16,male,GOT7
"GOT7 ""A"" Dance Practice #2 (A+ Ver.)",v6aIv5X_9oE,2014-07-20,male,GOT7
"GOT7 ""Girls Girls Girls"" Dance Practice #2",ItPurkuV8ss,2014-02-10,male,GOT7
"GOT7 ""Girls Girls Girls"" Dance Practice",BKFrVY2GNVo,2014-01-26,male,GOT7
GD X TAEYANG - 'GOOD BOY' DANCE PRACTICE VIDEO,cZPYWcAg86Q,2014-12-08,male,G-DRAGON + TAEYANG
BIGBANG(GD&T.O.P) - '쩔어(ZUTTER)' DANCE PRACTICE,cBRaZT1KqGc,2015-08-05,male,G-DRAGON + T.O.P
[Dance Practice] BOYFRIEND - BOUNCE 안무연습 feat.SISTAR,_RaXh9NX3C0,2015-03-17,male,BF
방탄소년단 '상남자(Boy In Luv)' dance practice,gqz6Adx63w8,2014-02-16,male,BTS
방탄소년단 'N.O' dance practice,_VoSHt8zFNI,2013-09-15,male,BTS
BTS (방탄소년단) '하루만(Just one day)' dance practice,2DFvc5o5xAY,2014-04-12,male,BTS
"GOT7 ""Fly"" Dance Practice",6iOPQ-QPt3o,2016-03-24,male,GOT7
[Dance Practice] SEVENTEEN(세븐틴) - 예쁘다 (Pretty U) Dancecal ‘LOVE ver.’,TpHfh9VUOek,2016-04-29,male,Seventeen
[CHOREOGRAPHY] BTS (방탄소년단) '불타오르네 (FIRE)' Dance Practice,sWuYspuN6U8,2016-05-13,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) 'We Are Bulletproof Pt.2' dance practice,bV9Svms-LYY,2013-07-26,male,BTS
방탄소년단 -No More Dream- Dance Practice,EBzr2udonZI,2013-06-20,male,BTS
NCT 127 DANCE PRACTICE VIDEO #CHERRY ver.,IMIcMrEuS-Q,2017-06-20,male,NCT 127
"2PM ""Promise (I'll be)"" Dance Practice Video",O4t_b9tZT0U,2016-09-25,male,2PM
B1A4 - Lonely (없구나) 안무 영상 (Lonely Dance Practice Video),cmBwMGWU1og,2014-03-18,male,B1A4
TAEMIN 태민 'MOVE' Dance Practice,_cAskH1PtmQ,2017-10-23,male,Taemin
SHINee 샤이니 'I Want You' Dance Practice,EJ5-FH7qX9Q,2018-06-21,male,SHINee
SHINee 샤이니 '데리러 가 (Good Evening)' Dance Practice,aI5k1PPUtpw,2018-06-10,male,SHINee
EXO-CBX (첸백시) '花요일 (Blooming Day)' Dance Practice,UdjEoGzXxmI,2018-04-23,male,EXO-CBX
NCT 2018 엔시티 2018 'Black on Black' Dance Practice,tOpTQ3Fuf9s,2018-04-22,male,NCT
iKON - '죽겠다(KILLING ME)' DANCE PRACTICE VIDEO,W6_j0LqPIXk,2018-08-02,male,iKON
SF9 - 오솔레미오(O Sole Mio) 안무 연습 영상 (Dance Practice Video) Halloween Ver.,yDXdIT1TAqM,2017-10-31,male,SF9
[ETC] NU'EST(뉴이스트) - Love Paint (Every Afternoon) Dance Practice Eye Contact Ver.,egLrY_do-HA,2016-09-27,male,NU'EST
[ETC] NU'EST(뉴이스트) - Love Paint (Every Afternoon) Dance Practice Fix Ver.,BWTCJ2mBhNo,2016-09-13,male,NU'EST
NCT 127 'Chain' Dance Practice,pGB6oUsvH3U,2018-05-25,male,NCT 127
NCT 127 DANCE PRACTICE VIDEO #BOMB ver.,bTu86Ll8eqk,2017-06-23,male,NCT 127
NCT 127 엔시티 127 '소방차 (Fire Truck)' Dance Practice,ssBGdX5-h94,2016-07-25,male,NCT 127
TVXQ! 동방신기 'Catch Me' Dance Practice,JzSgMwrSfOk,2012-09-28,male,TVXQ!
NCT U 엔시티 유 'BOSS' Dance Practice,-7tSTUR7FG0,2018-02-27,male,NCT U
NCT U 엔시티 유 'Baby Don't Stop' Dance Practice,DR2CtV_khJo,2018-03-16,male,NCT U
"GOT7 ""Lullaby"" Dance Practice (Suit Ver.)",tgA9zvfVJtg,2018-09-18,male,GOT7
[Dance Practice] 몬스타엑스 (MONSTA X) - 'SHOOT OUT' EYE CONTACT ver.,3oLG_rx1-lw,2018-11-04,male,MONSTA X
"Stray Kids ""I am YOU"" Dance Practice (Close up Ver.)",zDtAYqhwogQ,2018-11-07,male,Stray Kids
[Dance Practice] 하이라이트(Highlight) - 사랑했나봐(Loved) 안무 연습 영상,EqgmF4NUrqI,2018-11-27,male,Highlight
