original_name,vlink,releasedate,members,group_name
[Dance Practice] SISTAR(씨스타)_Touch my body_안무연습 Ver.,5IT2rFeF6XQ,2014-07-21,female,Sistar
[Dance Practice] SISTAR(씨스타)_I Swear_안무연습 Ver.,QFiAaqY2RpE,2014-08-26,female,Sistar
Girls' Generation 소녀시대 'Oh!' Dance Practice,S7SYWFeaSqc,2010-02-04,female,Girls' Generation
Girls' Generation 소녀시대 'Mr.Mr.' Dance Practice,DMNcXwxQA7Q,2014-03-30,female,Girls' Generation
2NE1 - 'I LOVE YOU' Dance Practice Video,ZZEiDiDhlpI,2012-07-10,female,2NE1
2NE1 - 'FALLING IN LOVE' Dance Practice (안무연습),gceDuSLvCPU,2013-07-11,female,2NE1
2NE1 - 'COME BACK HOME' Dance Practice,0RUvealeXZ0,2014-03-13,female,2NE1
CL - '나쁜 기집애(THE BADDEST FEMALE)' Dance Practice (안무연습),5OzAqfboJ9k,2013-06-06,female,CL
2NE1 - '너 아님 안돼 (GOTTA BE YOU)' Dance Practice,9Lk6lnTS5sU,2014-03-17,female,2NE1
2NE1 - 'DO YOU LOVE ME' Dance Practice (안무연습),gwVWMmcM7HQ,2013-08-06,female,2NE1
"Wonder Girls ""Like this"" Dance Practice",E38Cdod47Zc,2012-06-05,female,Wonder Girls
"Wonder Girls ""Like Money"" Dance Practice",4wzRRTXSGHo,2012-09-04,female,Wonder Girls
AOA - 짧은 치마(Miniskirt) 안무영상(Dance Practice) Full ver.,56hGcCt0NuU,2014-01-15,female,AOA
AOA - 짧은 치마(Miniskirt) 안무영상(Dance Practice) Eye contact ver.,8CP9CxY7d3E,2014-01-15,female,AOA
AOA - 사뿐사뿐(Like a Cat) 안무영상(Dance Practice) Full ver,srK7Vj5p9Tg,2014-11-20,female,AOA
[ETC] AFTERSCHOOL - 'Flashback' Dance Practice ver,IPsoes0eoU0,2012-06-29,female,After School
나인뮤지스[9MUSES] - 드라마(DRAMA) 안무 연습영상(Dance practice),j0BgmTJzBgI,2015-01-23,female,9Muses
RAINBOW(레인보우) - Tell me Tell me(텔미텔미) Dance Practice Video,_s4AG9zv5Jg,2013-03-07,female,Rainbow
LEE HI - 'ROSE' DANCE PRACTICE VIDEO,-DlU0f9c-B8,2013-04-08,female,Lee Hi
LEE HI  - 'IT'S OVER' DANCE PRACTICE VIDEO,Umz8F0xLIV4,2013-03-11,female,Lee Hi
"miss A ""Only You(다른 남자 말고 너)"" Dance Practice",lydyrae75xI,2015-04-05,female,Miss A
"miss A ""Only You(다른 남자 말고 너)"" Dance Practice #2 (Close Up Ver.)",21-hI5XkSZ0,2015-04-11,female,Miss A
KARA(카라)-맘마미아(Mamma Mia)안무연습 영상(Dance practice),zXQvssll_I4,2014-08-25,female,Kara
BESTie - Love Options (dance practice) DVhd,ZMh68KBd1CA,2013-11-09,female,BESTie
SISTAR 씨스타_SHAKE IT Dance Practice ver.,O27fsGdpP-Y,2015-06-23,female,Sistar
나인뮤지스[9MUSES] - 다쳐(Hurt Locker) 안무 연습영상(Dance practice),ERHLwrj7W5c,2015-07-04,female,9Muses
여자친구(GFRIEND) - 유리구슬(Glass Bead) Dance Practice ver.,5Sd4FByvxQk,2015-02-04,female,GFriend
"LOVELYZ ""안녕(Hi~)"" Dance Practice",KMLrtgy6l00,2015-03-15,female,Lovelyz
"Lovelyz ""Candy Jelly Love"" Dance Practice",kABkuIF7zWg,2014-12-08,female,Lovelyz
달샤벳(Dalshabet) '너 같은 (Someone like U)' 안무영상 Dance Practice,9mLJ6zEhGNo,2016-01-14,female,Dal★Shabet
[Dance Practice] 우주소녀 (WJSN) _ MoMoMo (모모모),27zLeOzp0Uk,2016-03-07,female,WJSN
[Dance Practice] 씨스타(SISTAR) _ I Like That,ErfYlsY16UQ,2016-06-29,female,Sistar
SEOHYUN 서현 'Don't Say No' Dance Practice,ehPvJLjP0HE,2017-02-01,female,Seohyun
